start-timestamp,finish-timestamp,CPU_usage,Canonical_memory_usage,ass_mem,Maximum_memory_usage
6,9,0.2540936,0.1503807,0.277387,0.2139965
9,12,0.1897072,0.1414208,0.250407,0.180382
12,15,0.4512018,0.1467365,0.257291,0.1922141
15,18,0.4372529,0.1524431,0.283122,0.1924374
18,21,0.4510496,0.192785583,0.304505,0.2793614
21,24,0.485648,0.2984052,0.404551,0.320357
24,27,0.4079962,0.2511556,0.405227,0.3381391
27,30,0.2538675,0.1527891,0.28041,0.1972678
30,33,0.2576047,0.15875761,0.26997,0.2053133
33,36,0.2972667,0.1759345,0.285343,0.2548105
36,39,0.43172418,0.2785466,0.40849,0.2991891
39,42,0.3705105,0.2799337,0.369298,0.2893107
42,45,0.3846644,0.212359,0.389483,0.3226996
45,48,0.2455833,0.1349777,0.248699,0.1667617
48,51,0.1344287,0.1153747,0.217245,0.1258297
51,54,0.1072242,0.11528473,0.206562,0.1175622
54,57,0.0737761,0.10222964,0.193884,0.1035006
57,60,0.2163678,0.1225666,0.215804,0.1291827
60,63,0.2002567,0.1207506,0.21511,0.1263327
63,66,0.185477,0.1262685,0.220784,0.1374367
66,69,0.0927973,0.1088056,0.20084,0.1101377
69,72,0.1091917,0.1092387,0.200353,0.1108567
72,75,0.1122797,0.1106826,0.200429,0.1117287
75,78,0.1188144,0.1112947,0.200262,0.1121627
78,81,0.0936788,0.1117037,0.200003,0.1123477
81,84,0.1181562,0.1125907,0.202403,0.1137847
84,87,0.1384593,0.1182877,0.207562,0.1209807
87,90,0.1801264,0.1326227,0.224321,0.1347187
90,93,0.1397156,0.1202937,0.209829,0.1215407
93,96,0.1409176,0.1189317,0.21004,0.1223197
96,99,0.127923,0.1161628,0.210545,0.1176517
99,102,0.1333696,0.1164317,0.210195,0.1186277
102,105,0.1354478,0.1174676,0.210349,0.1195467
105,108,0.2254194,0.1416287,0.232415,0.1667317
108,111,0.4712903,0.2067847,0.297161,0.2248967
111,114,0.4551704,0.2288957,0.318306,0.2372347
114,117,0.4551384,0.2347208,0.323895,0.2395397
117,120,0.4179149,0.2339917,0.321228,0.2376707
120,123,0.3969333,0.2288018,0.316795,0.2666097
123,126,0.4314672,0.2048193,0.334071,0.2499586
126,129,0.3723604,0.1895304,0.355263,0.2401101
129,132,0.23377393,0.2064346,0.33962,0.234293
132,135,0.4273798,0.255895,0.372222,0.289335
135,138,0.4320269,0.2764473,0.391076,0.2864075
138,141,0.4341246,0.2842036,0.39702,0.2905199
141,144,0.4190041,0.28998426,0.402745,0.2964609
144,147,0.384209,0.2737347,0.38689,0.314797
147,150,0.3935177,0.2281986,0.373035,0.2751146
150,153,0.2947927,0.1897578,0.354675,0.2143898
153,156,0.2453419,0.1937218,0.306972,0.2196477
156,159,0.2176534,0.1950882,0.308686,0.2167487
159,162,0.2713969,0.2029799,0.319336,0.2405636
162,165,0.3033284,0.2089839,0.325284,0.2390448
165,168,0.2487217,0.2024718,0.31722,0.2334747
168,171,0.2160609,0.2008449,0.316068,0.2323789
171,174,0.2344665,0.2141018,0.333787,0.2689486
174,177,0.4099555,0.2824849,0.40539,0.2937029
177,180,0.4144813,0.2802759,0.399203,0.2877017
180,183,0.413551,0.288388,0.405243,0.294213
183,186,0.4098352,0.2932269,0.409643,0.2973968
186,189,0.3843954,0.259447,0.389403,0.317176
189,192,0.3851727,0.2176917,0.381073,0.2464003
192,195,0.255176,0.1912539,0.346333,0.2103786
195,198,0.3225078,0.2320177,0.351003,0.2682253
198,201,0.4149093,0.273551,0.392043,0.2814819
201,204,0.4150146,0.2839559,0.401483,0.2895108
204,207,0.4149704,0.289903,0.407093,0.295709
207,210,0.3782292,0.283509,0.400704,0.3205618
210,213,0.4163495,0.2478531,0.385931,0.2874111
213,216,0.3367505,0.2021049,0.380819,0.2132578
216,219,0.3519986,0.2457641,0.361359,0.323358
219,222,0.3794711,0.329162,0.438238,0.3426929
222,225,0.2361155,0.2384531,0.412534,0.3452471
225,228,0.2057372,0.1961331,0.315313,0.2218569
228,231,0.3551668,0.2410602,0.3594,0.2711601
231,234,0.4187112,0.274013,0.396023,0.2823614
234,237,0.4145656,0.2753932,0.393245,0.2813402
237,240,0.41941763,0.2843836,0.40391,0.2890718
240,243,0.383199,0.2717476,0.388845,0.3162897
243,246,0.3958402,0.2261215,0.369252,0.2806092
246,249,0.2771871,0.1908527,0.345588,0.2149101
249,252,0.21245586,0.1955639,0.312155,0.2195678
252,255,0.0934473,0.1531461,0.234553,0.1561833
255,258,0.1178225,0.1492947,0.235061,0.1524714
258,261,0.1506143,0.1512276,0.236434,0.1550796
261,264,0.1599393,0.1547081,0.240643,0.1581511
264,267,0.1576913,0.1558526,0.238833,0.1587876
267,270,0.1357771,0.1568575,0.239038,0.1596844
270,273,0.1792364,0.1658256,0.250413,0.1740726
273,276,0.2764169,0.1774466,0.268447,0.1848265
276,279,0.2352579,0.1724918,0.260908,0.1773417
279,282,0.2323983,0.18062366,0.269424,0.1859123
282,285,0.1860352,0.1689128,0.255287,0.1733457
285,288,0.2494253,0.1839973,0.271617,0.1919289
288,291,0.2426158,0.1729064,0.26081,0.1854954
291,294,0.2122906,0.1711224,0.257906,0.1750626
294,297,0.2137276,0.1721768,0.258909,0.177538
297,300,0.1718924,0.1746978,0.25872,0.180199
300,303,0.27045488,0.18291955,0.291379,0.1956656
303,306,0.182682,0.183016,0.258143,0.1894171
306,309,0.1949569,0.180924,0.255125,0.1870151
309,312,0.1910107,0.1832501,0.259128,0.1902902
312,315,0.2011904,0.1827712,0.25913,0.1888243
315,318,0.2062895,0.1871751,0.26215,0.1922582
318,321,0.2126856,0.1865142,0.260681,0.1915922
321,324,0.2102985,0.1815791,0.25441,0.1849033
324,327,0.3800302,0.2154882,0.291941,0.2301953
327,330,0.2520047,0.1980631,0.274938,0.2021932
330,333,0.2154706,0.1894372,0.264594,0.1941302
333,336,0.2923308,0.1910183,0.266879,0.1964713
336,339,0.3471283,0.2042692,0.281377,0.2174393
339,342,0.2597247,0.1996203,0.274612,0.2043332
342,345,0.1667583,0.1815432,0.256362,0.1859392
345,348,0.1709868,0.1816283,0.258629,0.1910293
348,351,0.280665,0.2132261,0.296215,0.2218223
351,354,0.182554,0.1786802,0.253855,0.1872183
354,357,0.1732047,0.1806641,0.255679,0.1833683
357,360,0.16915,0.1816482,0.255984,0.1851383
360,363,0.1742104,0.1824352,0.255401,0.1863113
363,366,0.2217396,0.1929574,0.26716,0.2035035
366,369,0.2124099,0.1964054,0.271043,0.2001055
369,372,0.184919,0.1947853,0.269777,0.1988304
372,375,0.1807004,0.1766323,0.251674,0.1875024
375,378,0.2149107,0.1758294,0.250961,0.1808944
378,381,0.1548989,0.1684852,0.242572,0.1733794
381,384,0.2024011,0.1867694,0.263093,0.1942324
384,387,0.2769852,0.1993698,0.277618,0.2228647
387,390,0.3419026,0.2288668,0.311027,0.2571963
390,393,0.4628672,0.2372621,0.321477,0.2606123
393,396,0.3340246,0.234217837,0.321705,0.25012988
396,399,0.3213314,0.2165206,0.292493,0.2270275
399,402,0,0,0,0
402,405,0.2504775,0.2173513,0.291444,0.2217076
405,408,0.1738684,0.2115423,0.286632,0.2191787
408,411,0.1967655,0.1978027,0.27691,0.2101667
411,414,0.39515401,0.251634437,0.35993,0.29858852
414,417,0.33079432,0.251706,0.352841,0.2790114
417,420,0.33683879,0.294573837,0.395955,0.3141597
420,423,0.256772,0.284573,0.375376,0.316399
423,426,0.1963763,0.282552,0.370944,0.2930357
426,429,0.1861684,0.3052081,0.397375,0.3239254
429,432,0.0868365,0.2699692,0.366228,0.2885908
432,435,0.0704572,0.2664186,0.361391,0.2695712
435,438,0.3575242,0.47120834,0.61154,0.4964384
438,441,0.3099242,0.188154,0.244836,0.196631
441,444,0.1219044,0.1902237,0.241273,0.1918679
444,447,0.1087117,0.2490466,0.305102,0.2527253
447,450,0.0883871,0.1894995,0.241522,0.1917903
450,453,0.166019,0.1934927,0.243964,0.1964436
453,456,0.1194184,0.1948666,0.244124,0.1998065
456,459,0.2151213,0.1950108,0.245859,0.1959328
459,462,0.1800893,0.1833037,0.232101,0.1844146
462,465,0.2179345,0.1825778,0.232198,0.1839257
465,468,0.1904888,0.18440787,0.235922,0.1900781
468,471,0.2685618,0.2048649,0.262814,0.2116449
471,474,0.1217403,0.1933468,0.278481,0.2322707
474,477,0.1945734,0.38132876,0.519633,0.3870445
477,480,0.206349298,0.2595223,0.399269,0.287861
480,483,0.083236389,0.2499818,0.362212,0.2673303
483,486,0.095411456,0.2252122,0.339422,0.2313011
486,489,0.160775406,0.2317081,0.34962,0.2361919
489,492,0.117515856,0.2259817,0.340115,0.229128
492,495,0.131006956,0.2260491,0.339936,0.228458
495,498,0.160037769,0.2289482,0.341975,0.2336995
498,501,0.122041669,0.2319392,0.345801,0.2350523
501,504,0.121899756,0.230028,0.343376,0.2318827
504,507,0.145307386,0.2455147,0.367106,0.2471169
507,510,0.239927529,0.2591953,0.371858,0.2852827
510,513,0.296467119,0.2773853,0.389228,0.2854184
513,516,0.109274116,0.2712643,0.382668,0.2790017
516,519,0.071264716,0.2624884,0.37312,0.2680924
519,522,0.069913776,0.2530655,0.36323,0.2593669
522,525,0.291634539,0.2779629,0.392074,0.3003278
525,528,0.121445576,0.2638336,0.382957,0.2932004
